epoch 0, test loss is 0.2707,  test sen is 0.0000, test spe is 0.0000, test F1 is nan, test acc is 0.9416, test kappa is -0.0000, 
epoch 1, test loss is 0.2455,  test sen is 0.0000, test spe is 0.0000, test F1 is nan, test acc is 0.9416, test kappa is -0.0000, 
epoch 2, test loss is 0.2085,  test sen is 0.0177, test spe is 0.7531, test F1 is 0.0346, test acc is 0.9423, test kappa is 0.0320, 
epoch 3, test loss is 0.1886,  test sen is 0.0731, test spe is 0.7621, test F1 is 0.1335, test acc is 0.9446, test kappa is 0.1245, 
epoch 4, test loss is 0.1785,  test sen is 0.3274, test spe is 0.6072, test F1 is 0.4254, test acc is 0.9484, test kappa is 0.4009, 
epoch 5, test loss is 0.1665,  test sen is 0.3332, test spe is 0.6216, test F1 is 0.4339, test acc is 0.9493, test kappa is 0.4098, 
epoch 6, test loss is 0.1624,  test sen is 0.3543, test spe is 0.6060, test F1 is 0.4471, test acc is 0.9489, test kappa is 0.4223, 
epoch 7, test loss is 0.1650,  test sen is 0.2833, test spe is 0.6531, test F1 is 0.3951, test acc is 0.9494, test kappa is 0.3730, 
epoch 9, test loss is 0.1671,  test sen is 0.2823, test spe is 0.6609, test F1 is 0.3956, test acc is 0.9497, test kappa is 0.3738, 
epoch 10, test loss is 0.1591,  test sen is 0.3685, test spe is 0.6166, test F1 is 0.4613, test acc is 0.9498, test kappa is 0.4367, 
epoch 11, test loss is 0.1622,  test sen is 0.3134, test spe is 0.6484, test F1 is 0.4225, test acc is 0.9500, test kappa is 0.3997, 
epoch 14, test loss is 0.1486,  test sen is 0.3978, test spe is 0.5790, test F1 is 0.4716, test acc is 0.9480, test kappa is 0.4452, 
epoch 17, test loss is 0.1451,  test sen is 0.3887, test spe is 0.5224, test F1 is 0.4458, test acc is 0.9436, test kappa is 0.4167, 
epoch 18, test loss is 0.1786,  test sen is 0.2974, test spe is 0.6626, test F1 is 0.4105, test acc is 0.9502, test kappa is 0.3884, 
epoch 19, test loss is 0.1594,  test sen is 0.3147, test spe is 0.6524, test F1 is 0.4246, test acc is 0.9502, test kappa is 0.4019, 
