epoch 0, test loss is 0.2806,  test sen is 0.0000, test spe is 0.0000, test F1 is nan, test acc is 0.9416, test kappa is -0.0000, 
epoch 1, test loss is 0.2146,  test sen is 0.0000, test spe is 0.0000, test F1 is nan, test acc is 0.9416, test kappa is -0.0000, 
epoch 2, test loss is 0.1945,  test sen is 0.0000, test spe is 0.0000, test F1 is nan, test acc is 0.9417, test kappa is 0.0000, 
epoch 3, test loss is 0.1817,  test sen is 0.0000, test spe is 0.0000, test F1 is nan, test acc is 0.9417, test kappa is 0.0000, 
epoch 4, test loss is 0.1697,  test sen is 0.0000, test spe is 1.0000, test F1 is 0.0001, test acc is 0.9417, test kappa is 0.0001, 
epoch 5, test loss is 0.1546,  test sen is 0.0059, test spe is 0.6383, test F1 is 0.0116, test acc is 0.9418, test kappa is 0.0106, 
epoch 6, test loss is 0.1481,  test sen is 0.1598, test spe is 0.6060, test F1 is 0.2529, test acc is 0.9449, test kappa is 0.2343, 
epoch 7, test loss is 0.1466,  test sen is 0.3114, test spe is 0.5736, test F1 is 0.4036, test acc is 0.9463, test kappa is 0.3781, 
epoch 8, test loss is 0.1511,  test sen is 0.4777, test spe is 0.5090, test F1 is 0.4928, test acc is 0.9426, test kappa is 0.4625, 
epoch 9, test loss is 0.1454,  test sen is 0.4852, test spe is 0.5139, test F1 is 0.4991, test acc is 0.9432, test kappa is 0.4691, 
epoch 10, test loss is 0.1432,  test sen is 0.4870, test spe is 0.5174, test F1 is 0.5017, test acc is 0.9436, test kappa is 0.4719, 
epoch 11, test loss is 0.1571,  test sen is 0.5516, test spe is 0.4875, test F1 is 0.5176, test acc is 0.9400, test kappa is 0.4857, 
epoch 12, test loss is 0.1392,  test sen is 0.4273, test spe is 0.5533, test F1 is 0.4822, test acc is 0.9465, test kappa is 0.4545, 
epoch 15, test loss is 0.1545,  test sen is 0.6001, test spe is 0.4683, test F1 is 0.5261, test acc is 0.9369, test kappa is 0.4928, 
epoch 19, test loss is 0.1572,  test sen is 0.6296, test spe is 0.4643, test F1 is 0.5345, test acc is 0.9360, test kappa is 0.5009, 
epoch 24, test loss is 0.1709,  test sen is 0.6998, test spe is 0.4346, test F1 is 0.5362, test acc is 0.9294, test kappa is 0.5002, 
epoch 28, test loss is 0.1417,  test sen is 0.5779, test spe is 0.5048, test F1 is 0.5389, test acc is 0.9423, test kappa is 0.5082, 
epoch 29, test loss is 0.1497,  test sen is 0.6400, test spe is 0.4741, test F1 is 0.5447, test acc is 0.9376, test kappa is 0.5120, 
